Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.04,-0.15,82.4,1748751000,0.598,7.314,3.303,112.73,70.858,66.793,64.353,12.59110,-81.68795,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.084066;-0.094819;-0.114369;-0.111437;-0.125122;-0.230694;-0.330401;-0.273705;-0.255132;-0.186706;-0.129032;-0.217009;-0.219941;-0.304008;-0.385142;-0.334311;-0.241447;-0.316716;-0.396872;-0.376344;-0.379277;-0.414467;-0.391984;-0.380254;-0.45259;-0.45259;-0.441838;-0.466276;-0.494624;-0.472141;-0.489736;-0.478983;-0.481916;-0.467253;-0.44477;-0.418377;-0.422287;-0.280547;-0.125122,-0.217986;-0.198436;-0.092864;-0.035191;0.012708;-0.068426;-0.202346;-0.272727;-0.208211;-0.096774;0.093842;0.090909;-0.077224;-0.076246;-0.029325;0.02346;-0.006843;-0.111437;-0.056696;-0.101662;-0.154448;-0.102639;-0.179863;-0.234604;-0.289345;-0.351906;-0.312805;-0.313783;-0.31085;-0.237537;-0.231672;-0.259042;-0.217009;-0.26393;-0.220919;-0.167155;-0.11828;-0.129032;-0.038123,-0.058651;-0.180841;-0.047898;-0.004888;0.100684;0.188661;0.198436;0.265885;0.086999;-0.092864;-0.010753;-0.034213;-0.018573;0.282502;0.151515;0.134897;0.082111;0.115347;0.193548;0.151515;0.119257;0.131965;0.11828;0.018573;0.013685;-0.090909;-0.053763;0.037146;0.058651;-0.053763;0.042033;0.197458;0.160313;0.117302;0.175953;0.334311;0.264907;0.218964;0.256109,0.261975;0.368524;0.414467;0.318671;0.274682;0.354839;0.326491;0.250244;0.311828;0.31085;0.329423;0.316716;0.368524;0.221896;0.182796;0.155425;0.143695;0.1261;-0.139785;-0.01955;-0.02346;-0.136852;0.039101;0.112414;0.112414;0.280547;0.175953;0.181818;0.173021;0.073314;0.127077;0.181818;0.058651;0.235582;0.201369;0.033236;0.144673;0.025415;0.107527,0.006251520000000001;0.014753792000000002;0.017504256000000003;0.009752575999999999;0.011502592;0.008502271999999998;0.010002432;0.030757888000000004;0.060264448000000005;0.077268992;0.08427007999999998;0.09177190400000002;0.088271872;0.071017472;0.051012608;0.04701184;0.034758656000000006;0.026756095999999997;0.030257152000000002;0.04076032;0.045260800000000004;0.048011264;0.05951488;0.05151232;0.057264128;0.061264896;0.049512447999999994;0.054763519999999996;0.055013376;0.047261696000000006;0.047761408000000005;0.055763968000000004;0.044761088000000004;0.04676096;0.035258368;0.032008192000000005;0.024255488000000002;0.020504576;0.008001536,21.08906430361975;25.539947036131252;50.92449682505867;72.47425937837454;95.79935218591456;73.4791503715386;58.51563447610903;45.10254745792747;50.78241556328146;62.60125735441068;126.02753180018956;112.72969262180783;70.6531961101332;75.92048359066916;85.64585777105765;94.01410388706631;88.37657915817442;70.61550220697245;81.86989764584405;74.88345504289776;67.84301679239536;76.09103999362628;65.35183842198632;58.32680215313087;57.40884015124618;52.13357129115502;54.7029145652528;56.06120107920083;57.85239755095654;63.292754310649;64.68328175011823;61.594737511884205;65.75774216496075;60.5398676389143;63.58622936110794;68.22171007538952;74.35276632767665;65.30087703172944;73.05472245292515,70.93419724534809;71.56579569749653;74.82211321810318;76.14686675016108;75.76202152173468;70.60978956730953;63.417981953338106;63.47242945346613;66.3588723129637;72.00619213659212;74.28379394863167;70.8579278581991;70.95872391673151;67.14011552885145;63.479131582039095;66.07010179217987;70.56719255501653;66.03950620248125;62.71722483950285;63.29390582279793;62.264550376911885;61.33663891524803;61.106443291562464;60.26676510225563;55.12460448040715;52.929498008694466;54.87503960833849;53.624327557826454;52.249712204797994;55.637290727392326;54.85042935523501;54.684110060091676;55.637570554860304;55.1564189139649;57.489450366005954;60.06318847218295;60.7151988015398;67.36592701430112;75.54352775223596,8.40,80.00,28.84,-,-,-,-,-,-,-,-,-,-,-,-,1012.2,embedded
4.04,-0.15,82.4,1748749200,-,-,-,-,-,-,-,12.5910833,-81.6879500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.15,80.8,1748743800,0.576,7.314,3.264,122.074,69.724,59.15,63.536,12.59112,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.053763;-0.110459;-0.14174;-0.176931;-0.31476;-0.28348;-0.261975;-0.29912;-0.218964;-0.135875;-0.14956;-0.219941;-0.163245;-0.280547;-0.29521;-0.28348;-0.249267;-0.27566;-0.238514;-0.223851;-0.352884;-0.382209;-0.381232;-0.426197;-0.439883;-0.442815;-0.495601;-0.389052;-0.473118;-0.527859;-0.497556;-0.438905;-0.446725;-0.491691;-0.482893;-0.41349;-0.420332;-0.326491;-0.086999,-0.086021;-0.099707;-0.089932;0.009775;0.012708;-0.033236;-0.042033;-0.209189;-0.234604;-0.046921;0.138807;0.13783;0.043988;-0.016618;-0.022483;-0.02737;-0.092864;-0.217986;-0.264907;-0.289345;-0.186706;-0.1652;-0.209189;-0.222874;-0.343108;-0.359726;-0.360704;-0.443793;-0.398827;-0.4174;-0.435973;-0.420332;-0.354839;-0.280547;-0.296188;-0.268817;-0.167155;-0.176931;-0.105572,0.042033;0.213099;0.219941;0.143695;0.224829;0.276637;0.312805;0.13783;0.056696;0.16911;0.207234;0.057674;0.108504;0.277615;0.155425;0.179863;-0.012708;-0.036168;0.130987;0.095797;-0.01955;0.018573;0.184751;0.173998;-0.014663;-0.02346;0;-0.092864;-0.010753;0.043988;-0.00391;-0.000978;0.081134;0.273705;0.238514;0.181818;0.274682;0.325513;0.210166,0.037146;0.107527;0.249267;0.251222;0.245357;0.148583;0.202346;0.272727;0.166178;0.176931;0.305963;0.313783;0.335288;0.301075;0.353861;0.284457;0.13783;0.190616;0.033236;-0.059629;0.01173;0.065494;0.00782;0.172043;0.344086;0.258065;0.216031;0.231672;0.216031;0.298143;0.325513;0.217986;0.1652;0.115347;0.166178;0.120235;0.066471;-0.01564;-0.040078,0.0032511999999999997;0.009001984000000001;0.008752128000000001;0.010252288;0.010252288;0.010753024;0.014003199999999999;0.03275776;0.067016704;0.08026931200000001;0.084020224;0.08452096;0.052512768;0.042010624;0.044511232;0.042760192;0.028756992000000002;0.02975744;0.033258496;0.029006848000000002;0.043010047999999995;0.058764288;0.046511104000000004;0.044260351999999996;0.039759872;0.044511232;0.048761856;0.046261248;0.049011712;0.069266432;0.056763392;0.055513088;0.045010944000000004;0.03900928;0.036508672;0.034008064;0.023005184;0.019755008;0.007251968,32.0053233368219;47.928673553948215;57.605458096023256;93.1622353233993;92.31198226093889;83.31300817372687;80.88477481422103;55.03305581674124;43.025100795279286;70.94893977010213;132.8644706436202;122.07405823695217;105.08073448861504;86.61008668877093;85.64479843546394;84.4851850807043;69.56720693991747;51.66381070168518;41.9988850404921;37.727234219798106;62.11730773994208;66.62482835872117;61.24561468209987;62.39328631240818;52.04582905199538;50.91091029057071;53.95244963292566;41.239488329463825;49.869923578712246;51.66511603837694;48.77421695815633;46.238294930883626;51.53946459829626;60.29196405112009;58.47664790613305;56.97140829279789;68.31358318183703;61.54598630511214;39.49100241735141,76.80883399565141;74.75708829586642;73.91541888320022;73.49952903541649;67.06218628771134;68.49557953693076;69.45205234369095;64.56852022004801;66.77298307727038;74.97877386924702;72.29047455872004;69.72406556164933;73.86189758217476;68.70532101410626;67.9835655435905;68.52545422096897;69.42001155129336;65.25510497455093;65.00173819268473;64.52697626433554;62.804534335396454;61.90156319697524;60.91412565604102;58.3768390137913;53.8780770333014;53.10206193978175;50.409454983735614;51.872077519748075;50.02862849630551;46.338992886035676;47.140226507889565;50.75033411179447;53.10281925282531;53.37447091618147;53.350227927367456;57.68463357902695;59.96384871593319;64.24539890499206;75.28237566865248,7.60,51.43,28.98,-,-,-,-,-,-,-,-,-,-,-,-,1010.9,embedded
4.04,-0.15,80.8,1748742000,-,-,-,-,-,-,-,12.5911167,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.08,75.2,1748736600,0.582,8.533,3.373,111.922,73.695,55.895,64.905,12.59108,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.091887;-0.199413;-0.190616;-0.091887;-0.158358;-0.266862;-0.248289;-0.285435;-0.253177;-0.160313;-0.11828;-0.047898;-0.143695;-0.184751;-0.228739;-0.348974;-0.367546;-0.388074;-0.297165;-0.252199;-0.307918;-0.327468;-0.323558;-0.386119;-0.404692;-0.315738;-0.4174;-0.483871;-0.407625;-0.404692;-0.445748;-0.473118;-0.483871;-0.447703;-0.357771;-0.365591;-0.282502;-0.304008;-0.081134,-0.143695;-0.096774;-0.076246;-0.073314;-0.086021;-0.172043;-0.192571;-0.194526;-0.070381;0.064516;0.172043;0.221896;-0.060606;-0.114369;0.017595;0.009775;-0.104594;-0.205279;-0.256109;-0.221896;-0.229717;-0.290323;-0.367546;-0.359726;-0.338221;-0.380254;-0.439883;-0.442815;-0.40567;-0.43304;-0.428152;-0.393939;-0.351906;-0.336266;-0.264907;-0.255132;-0.273705;-0.158358;-0.097752,0.043988;0.100684;0.025415;0.058651;0.083089;0.054741;0.038123;0.189638;0.146628;0.144673;0.004888;-0.119257;0.086999;0.081134;0.086999;0.067449;0.185728;0.173998;0.054741;0.064516;0.113392;0.080156;-0.073314;-0.065494;-0.032258;-0.13392;-0.092864;-0.005865;-0.085044;-0.059629;0.020528;0.044966;0.119257;0.067449;0.082111;0.103617;0.147605;0.223851;0.176931,0.347996;0.228739;0.227762;0.26784;0.324536;0.254154;0.185728;0.172043;0.104594;0.051808;0.075269;0.193548;0.284457;0.347996;0.288368;0.232649;0.087977;0.229717;0.208211;0.025415;-0.033236;0.098729;0.11828;0.224829;0.222874;0.134897;0.288368;0.374389;0.258065;0.191593;0.258065;0.281525;0.317693;0.206256;0.049853;0.036168;0.083089;-0.045943;0.01173,0.007501824;0.017004543999999996;0.016753664;0.00925184;0.008001536;0.01100288;0.014003199999999999;0.038509568;0.08051916799999999;0.099524608;0.098774016;0.07351808;0.046011392;0.042510336;0.039510016;0.037259264;0.03600896;0.029006848000000002;0.035008512000000006;0.038259712;0.04701184;0.060014592;0.05626368;0.044761088000000004;0.049512447999999994;0.047511552000000006;0.052013055999999995;0.05626368;0.05026201600000001;0.052512768;0.048011264;0.053763072;0.045260800000000004;0.044260351999999996;0.030507008;0.029006848000000002;0.022755328;0.017004543999999996;0.0070021120000000004,32.5972304665853;64.11296347396365;68.19869416276288;51.4146382861627;61.48892960876117;57.19056889584408;52.203125144191915;55.72528927909519;74.46453276789867;111.92171482651139;145.4913780746379;167.81914695816226;67.13152339788485;58.24066938518615;94.39862873592466;91.60447436764079;74.11503010572926;62.12256083855982;49.243886482784774;48.657231883736245;53.27584538977749;48.44079580367804;41.35810013391972;47.02666341857753;50.11283729656952;39.70401783306363;43.49771219415845;47.53677970365385;45.137727433712826;43.06190854510703;46.153496194873355;50.21773613438489;53.97264069623907;53.09009205602848;53.482371696149414;55.090283083826876;45.90611759886059;62.48495829297599;39.692617622496755,73.79544136584352;71.48646439838254;72.23361585460648;76.11714941252761;73.36485077537623;66.93989309733035;67.10140992482462;65.55709538697205;69.57238395665357;73.69547422057843;72.0752816249769;71.24025872366326;74.44249901381725;71.68679839416698;71.12920985917759;65.37190453844536;63.69174328035651;60.689042981684075;63.165864676325754;66.03099896550073;63.58717294619503;60.764160672026584;57.88443770202772;55.68476802461047;55.70273473731374;57.624258129414;50.835335785278396;47.53072667618885;52.81862509340284;51.71209729082617;50.07625786066322;50.23418906596068;51.35536213896385;53.75296093671681;60.355635547373794;60.320627042388864;63.11140232556505;65.68905583864588;75.70695240341716,7.20,51.43,29.04,-,-,-,-,-,-,-,-,-,-,-,-,1009.5,embedded
4.04,-0.08,75.2,1748734800,-,-,-,-,-,-,-,12.5910667,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0,70.4,1748729400,0.588,7.877,3.281,138.384,69.262,62.309,64.651,12.59107,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.147605;-0.093842;-0.144673;-0.237537;-0.205279;-0.26784;-0.296188;-0.340176;-0.233627;-0.159335;-0.178886;-0.090909;-0.111437;-0.206256;-0.278592;-0.217986;-0.214076;-0.313783;-0.255132;-0.240469;-0.360704;-0.403715;-0.439883;-0.477028;-0.441838;-0.484848;-0.497556;-0.434018;-0.40958;-0.464321;-0.388074;-0.487781;-0.486804;-0.426197;-0.415445;-0.463343;-0.28739;-0.324536;-0.093842,0.020528;-0.022483;-0.076246;-0.097752;-0.13001;-0.131965;-0.047898;-0.094819;-0.15738;-0.094819;0.201369;0.181818;-0.016618;-0.090909;0.01564;0.13001;0.053763;-0.105572;-0.146628;-0.256109;-0.253177;-0.243402;-0.273705;-0.330401;-0.330401;-0.250244;-0.243402;-0.252199;-0.2913;-0.311828;-0.365591;-0.270772;-0.371456;-0.274682;-0.254154;-0.192571;-0.248289;-0.197458;-0.052786,0.1652;0.236559;0.352884;0.284457;0.240469;0.223851;0.328446;0.26002;-0.154448;-0.006843;0.001955;-0.099707;0.056696;0.037146;0.078201;0.160313;0.125122;0.129032;0.013685;-0.042033;0.062561;-0.029325;0.035191;0.152493;0.047898;0.049853;0.046921;0.024438;0.096774;0.080156;0.005865;0.147605;0.032258;0.080156;0.148583;0.212121;0.14956;0.223851;0.155425,0.113392;0.108504;0.164223;0.148583;0.11437;0.105572;0.060606;0.045943;-0.018573;-0.014663;0.190616;0.252199;0.243402;0.27957;0.259042;0.238514;0.128055;0.15347;-0.006843;0.039101;0.061584;0.02346;0.154448;0.211144;0.14956;0.033236;0.012708;0.006843;0.032258;0.217986;0.204301;0.158358;0.322581;0.014663;0.124145;0.084066;0;0.083089;-0.067449,0.00300032;0.006751232;0.007501824;0.011502592;0.013253632;0.01100288;0.012503040000000002;0.041260032;0.07226777599999999;0.091022336;0.106525696;0.078519296;0.048512;0.028257280000000003;0.03600896;0.034758656000000006;0.031507456;0.024756223999999997;0.027006976000000002;0.037259264;0.055763968000000004;0.07201792;0.07276748799999999;0.06676582399999999;0.05151232;0.052512768;0.046511104000000004;0.03900928;0.036258816000000006;0.048761856;0.045510656;0.044511232;0.058764288;0.04076032;0.03900928;0.027756544;0.024005632;0.022255616;0.007501824,97.91756103813981;76.52682985784742;62.20973762488285;67.63169441336265;57.65256314080614;63.77049231799322;80.81394725452395;74.42497883472373;56.03429864366956;59.24345731524073;138.3837373222371;153.43494882292202;81.51829272976164;66.21412560842651;93.21318044824804;120.81246096604067;104.09769021785345;71.40453468952904;60.113403205330314;43.19603392742397;54.93510432648827;58.913993191568125;58.10920611152062;55.29260043578978;53.21131383910722;62.70043982926859;63.93234226838854;59.84000317672883;54.57893957044564;56.11553967138957;46.708715527362415;60.96491714100398;52.65454234551237;57.19840651655852;58.543235675164055;67.43163383446563;49.174806391464244;58.68234198929895;60.6423044328688,74.74736256285142;77.0197777869776;74.10738532876536;69.85084856945949;70.50008840601647;67.86176361929577;67.79154144851194;65.16908044184862;68.67412998007053;73.1317807978815;69.26154661802484;72.32539983249077;76.32738665764757;71.31417530281698;68.80120218115526;69.99415591830713;71.52919504944059;66.27183708502604;68.07040657662475;65.261488221101;60.59889071829943;58.91092171009827;56.250075206317405;52.49517637238196;54.252081185658746;54.6195237518967;54.119424794455625;57.18267654209639;57.14634735996788;53.790167834522244;55.36333724111756;53.87656836737131;50.45036429603859;56.890729975124664;58.034694996587056;57.19443663173674;63.812684408328124;63.807751746154416;76.5421298133524,8.00,51.43,29.14,-,-,-,-,-,-,-,-,-,-,-,-,1009,embedded
4.04,0,70.4,1748727600,-,-,-,-,-,-,-,12.5910667,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.14,62.4,1748722200,0.56,7.877,3.154,153.36,66.04,57.765,66.82,12.59108,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.000978;-0.020528;-0.104594;-0.170088;-0.186706;-0.230694;-0.261975;-0.214076;-0.215054;-0.183773;-0.150538;-0.177908;-0.200391;-0.209189;-0.232649;-0.260997;-0.232649;-0.246334;-0.274682;-0.258064;-0.312805;-0.346041;-0.332356;-0.312805;-0.308895;-0.31085;-0.358749;-0.428152;-0.447703;-0.324536;-0.362659;-0.27566;-0.324536;-0.347019;-0.388074;-0.334311;-0.297165;-0.340176;-0.116325,-0.109482;-0.093842;-0.084066;-0.134897;-0.010753;-0.047898;-0.055718;-0.132942;-0.120235;0.072336;0.300098;0.189638;-0.02346;-0.036168;-0.053763;-0.024438;-0.079179;-0.13783;-0.245357;-0.207234;-0.150538;-0.185728;-0.257087;-0.307918;-0.242424;-0.182796;-0.26002;-0.284457;-0.288368;-0.329423;-0.347019;-0.400782;-0.388074;-0.362659;-0.317693;-0.30694;-0.232649;-0.15738;-0.090909,0.261975;0.193548;0.121212;0.090909;0.01564;0.02346;0.15347;0.066471;0.082111;-0.005865;-0.110459;-0.086999;0.006843;0.148583;0.080156;0.033236;0.154448;0.151515;0.117302;0.00391;0.136852;0.101662;0.100684;0.090909;0.005865;0.043011;0.124145;0.164223;0.124145;0.042033;0.075269;-0.15347;-0.114369;0.059629;0.227762;0.202346;0.26002;0.268817;0.28739,0.182796;0.335288;0.350929;0.286413;0.130987;0.079179;0.037146;0.224829;0.258065;0.159335;0.154448;0.173021;0.227762;0.026393;0.096774;0.181818;0.179863;0.101662;0.059629;0.207234;0.119257;0.175953;0.226784;0.249267;0.113392;-0.036168;0.064516;0.112414;0.208211;-0.103617;0.070381;0.113392;0.090909;0.14565;0.182796;0.13783;0.021505;0.150538;0.130987,0.003750912;0.00300032;0.005751808;0.010252288;0.012752896000000001;0.00950272;0.008252416;0.024506367999999997;0.064265216;0.09127219200000002;0.10152448;0.058264576;0.035008512000000006;0.03275776;0.038259712;0.031007744;0.026506239999999997;0.030257152000000002;0.033508352;0.03900928;0.05001216000000001;0.048262144;0.037009408;0.042010624;0.042760192;0.035508224000000005;0.036508672;0.042010624;0.040259583999999994;0.039510016;0.048761856;0.045510656;0.042760192;0.042010624;0.041509888;0.030007296;0.027006976000000002;0.020004864;0.008001536,0.5118081687709264;12.339123695443845;51.20989457404352;51.58202309191984;86.70379274911562;78.27057518770619;77.99299130595517;58.15956369076332;60.790787674258354;111.48539449626935;153.36030821697528;136.8279384239053;83.3227133953551;80.19074870416921;76.98790163686283;84.65080545439434;71.20467451091469;60.771901663623794;48.227491029737166;51.23437374844286;64.30072577406219;61.776542611108766;52.27700941432181;45.451084766159056;51.874809310758906;59.54225304413137;54.06553348460085;56.400604267038545;57.21418909874092;44.57183972943301;46.26248941077728;34.52040100173582;39.90484575790947;43.73751058922272;50.69486263308971;47.444115370525196;51.942784814665174;65.17271576879665;51.992064107159194,76.4641589955626;77.03838809857787;75.39610153408911;71.69587191586717;73.05985256400878;70.84252018080572;69.33335535295464;70.07926178301098;70.34170935051223;72.58735952396587;66.04000446036191;69.70207183695057;72.39431951792024;71.91509920684904;70.69564290959877;69.60252959168078;70.37108225276205;68.6463640617423;64.40069635355859;66.27649532807968;65.47062299184572;63.14332484897336;61.699676553014065;60.69399849174109;63.14688254701723;64.79169769834539;60.46970354882275;56.48602605771383;55.4002773399232;59.40929973610131;57.184519213554644;58.068049088602656;56.957287528996105;57.184519213554644;57.208168180476754;59.881858397354506;63.9353932526276;64.06797961796926;74.8084327561046,8.00,57.14,29.14,-,-,-,-,-,-,-,-,-,-,-,-,1009.8000000000001,embedded
4.04,0.14,62.4,1748720400,-,-,-,-,-,-,-,12.5910667,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
