"Título de trazado: 21907892"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 21907892, SEN S/N: 21907892)","Acoplador separado (LGR S/N: 21907892)","Acoplador adjunto (LGR S/N: 21907892)","Host conectado (LGR S/N: 21907892)","Parado (LGR S/N: 21907892)","Final de archivo (LGR S/N: 21907892)"
1,03/15/25 11:04:00 AM,29.765,Registrado,,,,
2,03/15/25 11:09:00 AM,29.464,,,,,
3,03/15/25 11:14:00 AM,29.590,,,,,
4,03/15/25 11:19:00 AM,29.590,,,,,
5,03/15/25 11:24:00 AM,29.265,,,,,
6,03/15/25 11:29:00 AM,29.090,,,,,
7,03/15/25 11:34:00 AM,32.846,,,,,
8,03/15/25 11:39:00 AM,32.433,,,,,
9,03/15/25 11:44:00 AM,39.573,,,,,
10,03/15/25 11:49:00 AM,40.000,,,,,
11,03/15/25 11:54:00 AM,38.980,,,,,
12,03/15/25 11:59:00 AM,38.449,,,,,
13,03/15/25 12:04:00 PM,38.309,,,,,
14,03/15/25 12:09:00 PM,38.254,,,,,
15,03/15/25 12:14:00 PM,38.254,,,,,
16,03/15/25 12:19:00 PM,38.170,,,,,
17,03/15/25 12:24:00 PM,34.124,,,,,
18,03/15/25 12:29:00 PM,28.692,,,,,
19,03/15/25 12:34:00 PM,28.097,,,,,
20,03/15/25 12:39:00 PM,27.974,,,,,
21,03/15/25 12:44:00 PM,27.949,,,,,
22,03/15/25 12:49:00 PM,27.949,,,,,
23,03/15/25 12:54:00 PM,27.949,,,,,
24,03/15/25 12:59:00 PM,27.949,,,,,
25,03/15/25 01:04:00 PM,27.949,,,,,
26,03/15/25 01:09:00 PM,27.949,,,,,
27,03/15/25 01:14:00 PM,27.974,,,,,
28,03/15/25 01:19:00 PM,27.974,,,,,
29,03/15/25 01:24:00 PM,27.974,,,,,
30,03/15/25 01:29:00 PM,27.974,,,,,
31,03/15/25 01:34:00 PM,27.998,,,,,
32,03/15/25 01:39:00 PM,27.998,,,,,
33,03/15/25 01:44:00 PM,27.998,,,,,
34,03/15/25 01:49:00 PM,27.998,,,,,
35,03/15/25 01:54:00 PM,28.023,,,,,
36,03/15/25 01:59:00 PM,28.023,,,,,
37,03/15/25 02:04:00 PM,28.023,,,,,
38,03/15/25 02:09:00 PM,28.048,,,,,
39,03/15/25 02:14:00 PM,28.048,,,,,
40,03/15/25 02:19:00 PM,28.072,,,,,
41,03/15/25 02:24:00 PM,28.072,,,,,
42,03/15/25 02:29:00 PM,28.048,,,,,
43,03/15/25 02:34:00 PM,28.072,,,,,
44,03/15/25 02:39:00 PM,28.072,,,,,
45,03/15/25 02:44:00 PM,28.072,,,,,
46,03/15/25 02:49:00 PM,28.072,,,,,
47,03/15/25 02:54:00 PM,28.072,,,,,
48,03/15/25 02:59:00 PM,28.072,,,,,
49,03/15/25 03:04:00 PM,28.097,,,,,
50,03/15/25 03:09:00 PM,28.097,,,,,
51,03/15/25 03:14:00 PM,28.097,,,,,
52,03/15/25 03:19:00 PM,28.097,,,,,
53,03/15/25 03:24:00 PM,28.122,,,,,
54,03/15/25 03:29:00 PM,28.122,,,,,
55,03/15/25 03:34:00 PM,28.122,,,,,
56,03/15/25 03:39:00 PM,28.122,,,,,
57,03/15/25 03:44:00 PM,28.147,,,,,
58,03/15/25 03:49:00 PM,28.147,,,,,
59,03/15/25 03:54:00 PM,28.196,,,,,
60,03/15/25 03:59:00 PM,28.196,,,,,
61,03/15/25 04:04:00 PM,28.171,,,,,
62,03/15/25 04:09:00 PM,28.171,,,,,
63,03/15/25 04:14:00 PM,28.122,,,,,
64,03/15/25 04:19:00 PM,28.097,,,,,
65,03/15/25 04:24:00 PM,28.097,,,,,
66,03/15/25 04:29:00 PM,28.171,,,,,
67,03/15/25 04:34:00 PM,28.171,,,,,
68,03/15/25 04:39:00 PM,28.147,,,,,
69,03/15/25 04:44:00 PM,28.122,,,,,
70,03/15/25 04:49:00 PM,28.122,,,,,
71,03/15/25 04:54:00 PM,28.221,,,,,
72,03/15/25 04:59:00 PM,28.221,,,,,
73,03/15/25 05:04:00 PM,28.221,,,,,
74,03/15/25 05:09:00 PM,28.171,,,,,
75,03/15/25 05:14:00 PM,28.122,,,,,
76,03/15/25 05:19:00 PM,28.171,,,,,
77,03/15/25 05:24:00 PM,28.270,,,,,
78,03/15/25 05:29:00 PM,28.221,,,,,
79,03/15/25 05:34:00 PM,28.196,,,,,
80,03/15/25 05:39:00 PM,28.245,,,,,
81,03/15/25 05:44:00 PM,28.221,,,,,
82,03/15/25 05:49:00 PM,28.245,,,,,
83,03/15/25 05:54:00 PM,28.221,,,,,
84,03/15/25 05:59:00 PM,28.245,,,,,
85,03/15/25 06:04:00 PM,28.221,,,,,
86,03/15/25 06:09:00 PM,28.245,,,,,
87,03/15/25 06:14:00 PM,28.221,,,,,
88,03/15/25 06:19:00 PM,28.196,,,,,
89,03/15/25 06:24:00 PM,28.196,,,,,
90,03/15/25 06:29:00 PM,28.221,,,,,
91,03/15/25 06:34:00 PM,28.245,,,,,
92,03/15/25 06:39:00 PM,28.245,,,,,
93,03/15/25 06:44:00 PM,28.245,,,,,
94,03/15/25 06:49:00 PM,28.245,,,,,
95,03/15/25 06:54:00 PM,28.245,,,,,
96,03/15/25 06:59:00 PM,28.245,,,,,
97,03/15/25 07:04:00 PM,28.245,,,,,
98,03/15/25 07:09:00 PM,28.270,,,,,
99,03/15/25 07:14:00 PM,28.245,,,,,
100,03/15/25 07:19:00 PM,28.245,,,,,
101,03/15/25 07:24:00 PM,28.221,,,,,
102,03/15/25 07:29:00 PM,28.221,,,,,
103,03/15/25 07:34:00 PM,28.221,,,,,
104,03/15/25 07:39:00 PM,28.221,,,,,
105,03/15/25 07:44:00 PM,28.221,,,,,
106,03/15/25 07:49:00 PM,28.221,,,,,
107,03/15/25 07:54:00 PM,28.221,,,,,
108,03/15/25 07:59:00 PM,28.221,,,,,
109,03/15/25 08:04:00 PM,28.221,,,,,
110,03/15/25 08:09:00 PM,28.221,,,,,
111,03/15/25 08:14:00 PM,28.196,,,,,
112,03/15/25 08:19:00 PM,28.196,,,,,
113,03/15/25 08:24:00 PM,28.221,,,,,
114,03/15/25 08:29:00 PM,28.196,,,,,
115,03/15/25 08:34:00 PM,28.196,,,,,
116,03/15/25 08:39:00 PM,28.221,,,,,
117,03/15/25 08:44:00 PM,28.196,,,,,
118,03/15/25 08:49:00 PM,28.196,,,,,
119,03/15/25 08:54:00 PM,28.196,,,,,
120,03/15/25 08:59:00 PM,28.196,,,,,
121,03/15/25 09:04:00 PM,28.196,,,,,
122,03/15/25 09:09:00 PM,28.196,,,,,
123,03/15/25 09:14:00 PM,28.171,,,,,
124,03/15/25 09:19:00 PM,28.171,,,,,
125,03/15/25 09:24:00 PM,28.171,,,,,
126,03/15/25 09:29:00 PM,28.171,,,,,
127,03/15/25 09:34:00 PM,28.171,,,,,
128,03/15/25 09:39:00 PM,28.171,,,,,
129,03/15/25 09:44:00 PM,28.171,,,,,
130,03/15/25 09:49:00 PM,28.171,,,,,
131,03/15/25 09:54:00 PM,28.171,,,,,
132,03/15/25 09:59:00 PM,28.171,,,,,
133,03/15/25 10:04:00 PM,28.147,,,,,
134,03/15/25 10:09:00 PM,28.122,,,,,
135,03/15/25 10:14:00 PM,28.122,,,,,
136,03/15/25 10:19:00 PM,28.122,,,,,
137,03/15/25 10:24:00 PM,28.122,,,,,
138,03/15/25 10:29:00 PM,28.122,,,,,
139,03/15/25 10:34:00 PM,28.122,,,,,
140,03/15/25 10:39:00 PM,28.122,,,,,
141,03/15/25 10:44:00 PM,28.097,,,,,
142,03/15/25 10:49:00 PM,28.097,,,,,
143,03/15/25 10:54:00 PM,28.097,,,,,
144,03/15/25 10:59:00 PM,28.097,,,,,
145,03/15/25 11:04:00 PM,28.097,,,,,
146,03/15/25 11:09:00 PM,28.097,,,,,
147,03/15/25 11:14:00 PM,28.097,,,,,
148,03/15/25 11:19:00 PM,28.097,,,,,
149,03/15/25 11:24:00 PM,28.072,,,,,
150,03/15/25 11:29:00 PM,28.097,,,,,
151,03/15/25 11:34:00 PM,28.072,,,,,
152,03/15/25 11:39:00 PM,28.072,,,,,
153,03/15/25 11:44:00 PM,28.072,,,,,
154,03/15/25 11:49:00 PM,28.072,,,,,
155,03/15/25 11:54:00 PM,28.072,,,,,
156,03/15/25 11:59:00 PM,28.072,,,,,
157,03/16/25 12:04:00 AM,28.072,,,,,
158,03/16/25 12:09:00 AM,28.072,,,,,
159,03/16/25 12:14:00 AM,28.048,,,,,
160,03/16/25 12:19:00 AM,28.048,,,,,
161,03/16/25 12:24:00 AM,28.048,,,,,
162,03/16/25 12:29:00 AM,28.048,,,,,
163,03/16/25 12:34:00 AM,28.048,,,,,
164,03/16/25 12:39:00 AM,28.048,,,,,
165,03/16/25 12:44:00 AM,28.048,,,,,
166,03/16/25 12:49:00 AM,28.048,,,,,
167,03/16/25 12:54:00 AM,28.048,,,,,
168,03/16/25 12:59:00 AM,28.048,,,,,
169,03/16/25 01:04:00 AM,28.048,,,,,
170,03/16/25 01:09:00 AM,28.023,,,,,
171,03/16/25 01:14:00 AM,28.023,,,,,
172,03/16/25 01:19:00 AM,28.023,,,,,
173,03/16/25 01:24:00 AM,27.998,,,,,
174,03/16/25 01:29:00 AM,28.023,,,,,
175,03/16/25 01:34:00 AM,28.023,,,,,
176,03/16/25 01:39:00 AM,28.023,,,,,
